net,length_um
net25,57.12
net32,56.3
net58,55.62
clknet_leaf_25_clk,55.4
net35,55.34
net40,54.82
net39,54.58
net123,54.52
net142,52.94
net140,51.94
net120,51.9
net110,51.5
net61,51.07
net36,50.7
net80,50.52
net132,50.12
net146,49.32
net100,49.2
net84,48.78
clknet_leaf_29_clk,48.1
net106,46.88
_0803_,46.11
net90,46.08
_0949_,44.42
net125,43.46
instance_0.rdata\[19\],41.82
net87,40.8
net91,40.8
_0946_,39.8
net139,38.6
net115,38.32
net124,36.56
net135,36.06
net98,33.04
net104,32.92
instance_1.rdata\[32\],32.06
net127,31.94
instance_1.mem\[2\]\[21\],31.78
net138,31.7
_1293_,31.2
net102,31.12
rdata[25],29.73
rdata[22],29.17
net86,28.94
instance_1.mem\[2\]\[26\],28.9
_1131_,28.74
net133,28.68
instance_0.mem\[2\]\[8\],28.665
net134,28.54
net83,28.4
net96,27.94
_1031_,27.82
instance_0.rdata\[62\],27.72
instance_1.rdata\[33\],27.68
net81,27.4
instance_1.rdata\[19\],26.98
net126,26.62
instance_1.rdata\[25\],26.6
net103,26.44
instance_0.mem\[0\]\[18\],26.38
instance_0.mem\[0\]\[12\],25.705
net94,25.7
instance_1.mem\[0\]\[69\],25.58
rdata[21],25.49
rdata[26],25.49
net112,25.44
instance_1.mem\[0\]\[28\],25.4
instance_1.mem\[3\]\[15\],25.34
instance_0.mem\[1\]\[41\],25.3
instance_1.mem\[2\]\[25\],25.16
instance_1.rdata\[21\],25.08
instance_0.mem\[3\]\[49\],25.06
wdata[64],25.05
_1043_,25
_1331_,24.96
instance_1.mem\[2\]\[59\],24.925
instance_0.mem\[1\]\[65\],24.88
wdata[41],24.42
_1764_,24.36
instance_1.mem\[3\]\[25\],24.32
net78,24.3
instance_0.mem\[2\]\[42\],24.16
_1196_,24
instance_1.rdata\[27\],23.98
instance_1.rdata\[12\],23.8
instance_0.mem\[3\]\[65\],23.78
instance_1.mem\[0\]\[21\],23.48
_1269_,23.36
instance_0.mem\[3\]\[66\],23.32
_1083_,23.22
_1068_,23.1
instance_0.mem\[0\]\[69\],22.92
_1318_,22.74
instance_1.mem\[2\]\[46\],22.705
_1009_,22.6
_0997_,22.4
instance_0.mem\[2\]\[37\],22.385
_1200_,22.16
instance_1.mem\[0\]\[51\],22.16
instance_1.rdata\[20\],22.1
net122,22.06
instance_1.rdata\[26\],22.04
instance_1.rdata\[13\],21.84
_1124_,21.82
instance_1.mem\[2\]\[50\],21.82
rdata[41],21.76
instance_0.mem\[2\]\[70\],21.725
_0992_,21.62
_1241_,21.48
instance_0.mem\[3\]\[3\],21.32
instance_1.mem\[0\]\[27\],21.2
_1073_,21.16
wdata[44],21.16
net131,21.04
wdata[18],21.03
wdata[21],21.03
instance_0.mem\[2\]\[46\],21
instance_0.rdata\[23\],21
wdata[0],20.98
instance_0.mem\[2\]\[68\],20.88
_0127_,20.84
wdata[25],20.71
instance_0.mem\[1\]\[34\],20.68
instance_1.mem\[2\]\[39\],20.66
